---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                        | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00000.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00001.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00002.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00003.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00004.cbf | 4      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00005.cbf | 3      | 2             | 1384            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00006.cbf | 6      | 4             | 2219            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00007.cbf | 10     | 6             | 1017            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00008.cbf | 3      | 1             | 34              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00009.cbf | 3      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00010.cbf | 2      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00011.cbf | 3      | 1             | 59              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00012.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/calais/calais0006_00013.cbf | 5      | 4             | 86              |       |                        |                        | 0        | 0.00             |
