---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                        | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00000.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00001.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00002.cbf | 1      | 1             | 157             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00003.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00004.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00005.cbf | 2      | 1             | 39              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00006.cbf | 1      | 1             | 80              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00007.cbf | 2      | 1             | 7002            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00008.cbf | 2      | 2             | 2085            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00009.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00010.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00011.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00012.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00013.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00014.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00015.cbf | 1      | 1             | 174             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00016.cbf | 1      | 1             | 83              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00017.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00018.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00019.cbf | 1      | 1             | 52              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00020.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00021.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00022.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00023.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00024.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00025.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00026.cbf | 1      | 1             | 53              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00027.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00028.cbf | 1      | 1             | 292             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00029.cbf | 1      | 1             | 55              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00030.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00031.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00032.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00033.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00034.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00035.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00036.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00037.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00038.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00039.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00040.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00041.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00042.cbf | 1      | 1             | 62              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00043.cbf | 2      | 1             | 57              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00044.cbf | 1      | 1             | 70              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00045.cbf | 2      | 1             | 58              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00046.cbf | 1      | 1             | 80              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00047.cbf | 2      | 1             | 85              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00048.cbf | 3      | 1             | 61              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00049.cbf | 3      | 1             | 72              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00050.cbf | 2      | 1             | 57              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00051.cbf | 2      | 1             | 61              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00052.cbf | 1      | 1             | 86              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00053.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00054.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00055.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00056.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00057.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00058.cbf | 0      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00059.cbf | 2      | 2             | 356             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00060.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00061.cbf | 3      | 1             | 52              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00062.cbf | 4      | 2             | 124             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00063.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00064.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00065.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00066.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00067.cbf | 1      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00068.cbf | 3      | 1             | 112             |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00069.cbf | 2      | 1             | 80              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00070.cbf | 3      | 1             | 86              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00071.cbf | 3      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00072.cbf | 5      | 0             | 0               |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00073.cbf | 2      | 1             | 87              |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/mb/dallas/dallas0007_00074.cbf | 4      | 0             | 0               |       |                        |                        | 0        | 0.00             |
