----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00000.cbf | 23     | 7             | 6176            |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00001.cbf | 30     | 13            | 5389            | 1.57  | 1.99                   | 1.91                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00002.cbf | 55     | 31            | 19520           | 1.34  | 2.28                   | 2.10                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00003.cbf | 118    | 79            | 84072           | 1.30  | 2.65                   | 2.60                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00004.cbf | 90     | 38            | 36094           | 1.30  | 1.61                   | 2.67                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00005.cbf | 141    | 91            | 95186           | 1.33  | 3.22                   | 2.86                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00006.cbf | 103    | 55            | 106469          | 1.20  | 1.62                   | 1.53                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00007.cbf | 77     | 40            | 60295           | 1.38  | 2.44                   | 2.26                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00008.cbf | 278    | 235           | 181096          | 1.40  | 2.96                   | 3.02                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00009.cbf | 66     | 39            | 52920           | 1.62  | 2.45                   | 2.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00010.cbf | 97     | 74            | 58259           | 1.50  | 2.87                   | 3.09                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/kirkuk/kirkuk0012_00011.cbf | 115    | 88            | 58236           | 1.40  | 2.49                   | 3.02                   | 0        | 0.00             |
