----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| image                                                         | #spots | #spots_no_ice | total_intensity | d_min | d_min (distl method 1) | d_min (distl method 2) | #indexed | fraction_indexed |
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00000.cbf | 29     | 12            | 25253           | 1.61  | 34.08                  | 4.37                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00001.cbf | 31     | 9             | 26813           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00002.cbf | 36     | 12            | 27200           | 1.61  | 34.60                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00003.cbf | 30     | 7             | 21849           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00004.cbf | 31     | 9             | 21701           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00005.cbf | 36     | 12            | 30403           | 1.64  | 5.26                   | 3.85                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00006.cbf | 29     | 6             | 22503           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00007.cbf | 37     | 11            | 25347           | 1.61  | 36.49                  | 3.46                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00008.cbf | 38     | 14            | 33674           | 1.63  | 37.41                  | 3.50                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00009.cbf | 43     | 13            | 31525           | 1.61  | 37.43                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00010.cbf | 35     | 10            | 29322           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00011.cbf | 36     | 11            | 23963           | 1.66  | 37.24                  | 3.51                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00012.cbf | 46     | 14            | 30155           | 1.36  | 32.44                  | 2.93                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00013.cbf | 39     | 12            | 26719           | 1.61  | 38.53                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00014.cbf | 34     | 12            | 28359           | 1.61  | 32.53                  | 3.47                   | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00015.cbf | 33     | 10            | 24793           |       |                        |                        | 0        | 0.00             |
| /dls/i24/data/2016/nt14493-21/cat/toledo/toledo0018_00016.cbf | 38     | 12            | 42129           | 1.61  | 2.51                   | 2.76                   | 0        | 0.00             |
